epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4357.21,0.53563,0.39737,0.92243,0.98257,0.97363,0.99425,0.8421,0.69238,0.3406,0.97,0.000574395,0.000574395,0.000574395
81,4411.48,0.56559,0.41092,0.93419,0.95372,0.996,0.99184,0.86184,0.59663,0.31736,0.93284,0.000572628,0.000572628,0.000572628
82,4464.98,0.54288,0.38801,0.91791,0.99119,0.95711,0.99235,0.87881,0.55309,0.2928,0.91377,0.000570861,0.000570861,0.000570861
83,4519.43,0.54386,0.44041,0.91985,0.95397,0.98171,0.99085,0.87672,0.51628,0.33315,0.89094,0.000569094,0.000569094,0.000569094
84,4573.2,0.53992,0.39614,0.90599,0.95184,0.99085,0.98997,0.88073,0.50793,0.31178,0.89323,0.000567327,0.000567327,0.000567327
85,4626.91,0.54575,0.3996,0.9194,0.97237,0.9899,0.99372,0.86562,0.57596,0.29995,0.90981,0.000565559,0.000565559,0.000565559
86,4680.48,0.52661,0.39783,0.90828,0.98223,0.96945,0.99345,0.86554,0.59984,0.3078,0.93193,0.000563792,0.000563792,0.000563792
87,4734.13,0.55827,0.40032,0.92685,0.98433,0.97287,0.99327,0.87737,0.55403,0.29417,0.90634,0.000562025,0.000562025,0.000562025
88,4788.12,0.54582,0.37968,0.92925,0.96302,0.99085,0.99177,0.88235,0.4878,0.28838,0.88488,0.000560258,0.000560258,0.000560258
89,4841.95,0.5303,0.38204,0.9205,0.96657,0.98018,0.99307,0.90075,0.48211,0.28024,0.87505,0.000558491,0.000558491,0.000558491
90,4895.61,0.54314,0.39909,0.91192,0.98241,0.9939,0.99178,0.88414,0.53323,0.29072,0.89572,0.000556724,0.000556724,0.000556724
91,4949.68,0.53532,0.39887,0.90983,0.96448,0.9939,0.99254,0.871,0.5631,0.29834,0.90983,0.000554956,0.000554956,0.000554956
92,5002.28,0.5109,0.38316,0.89836,0.95598,0.99695,0.99043,0.89675,0.50286,0.3227,0.88008,0.000553189,0.000553189,0.000553189
93,5055.78,0.51114,0.39322,0.90096,0.97233,0.96985,0.9919,0.8411,0.63907,0.31714,0.9655,0.000551422,0.000551422,0.000551422
94,5109,0.51051,0.37432,0.90652,0.96419,0.99573,0.99223,0.91004,0.43926,0.27546,0.8592,0.000549655,0.000549655,0.000549655
95,5161.23,0.50817,0.36882,0.89578,0.96391,0.98893,0.99261,0.90637,0.44028,0.28397,0.86804,0.000547888,0.000547888,0.000547888
96,5214.91,0.48952,0.3642,0.90365,0.95084,0.99078,0.99144,0.88535,0.51514,0.30622,0.89193,0.000546121,0.000546121,0.000546121
