epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,6310.97,0.39936,0.35844,0.85805,0.92395,0.94673,0.96835,0.92872,0.31521,0.32613,0.85353,0.004654,0.004654,0.004654
110,6368.48,0.40061,0.35298,0.85958,0.91908,0.94915,0.96814,0.92884,0.31345,0.32935,0.8531,0.0046045,0.0046045,0.0046045
111,6426.1,0.40154,0.36116,0.86048,0.92229,0.94737,0.96798,0.92856,0.31305,0.33337,0.85299,0.004555,0.004555,0.004555
112,6483.7,0.40432,0.35916,0.86209,0.92176,0.9464,0.96748,0.92762,0.31328,0.33954,0.8531,0.0045055,0.0045055,0.0045055
113,6541.42,0.4004,0.35633,0.85918,0.92053,0.94794,0.96787,0.92806,0.31319,0.33925,0.85312,0.004456,0.004456,0.004456
114,6598.29,0.39795,0.35437,0.85611,0.92223,0.94666,0.96835,0.92882,0.31219,0.33534,0.85214,0.0044065,0.0044065,0.0044065
115,6655.89,0.39798,0.34938,0.85863,0.92623,0.94682,0.96849,0.92917,0.31097,0.33391,0.85157,0.004357,0.004357,0.004357
116,6712.47,0.39719,0.34933,0.85798,0.92407,0.94841,0.96844,0.9295,0.31157,0.33296,0.85185,0.0043075,0.0043075,0.0043075
117,6770.01,0.39698,0.35098,0.85797,0.92326,0.94961,0.96792,0.92864,0.31333,0.33633,0.85235,0.004258,0.004258,0.004258
118,6827,0.39729,0.34803,0.85703,0.92318,0.94748,0.96782,0.92932,0.31367,0.33789,0.85235,0.0042085,0.0042085,0.0042085
119,6884.31,0.39483,0.34526,0.8565,0.92297,0.94822,0.96775,0.92898,0.31511,0.3359,0.85265,0.004159,0.004159,0.004159
120,6941.39,0.39596,0.34802,0.85554,0.92327,0.95102,0.96817,0.92959,0.3155,0.33448,0.85289,0.0041095,0.0041095,0.0041095
121,6999.2,0.39158,0.34793,0.85554,0.92151,0.95243,0.96836,0.92907,0.3145,0.33302,0.85267,0.00406,0.00406,0.00406
122,7057.07,0.39291,0.34519,0.85453,0.91898,0.95551,0.96811,0.92919,0.31429,0.33219,0.85249,0.0040105,0.0040105,0.0040105
123,7114.56,0.39091,0.34451,0.85661,0.91935,0.95279,0.96805,0.92921,0.31251,0.33149,0.85213,0.003961,0.003961,0.003961
124,7171.59,0.39318,0.34508,0.85567,0.92036,0.95507,0.96823,0.9292,0.31289,0.32831,0.85201,0.0039115,0.0039115,0.0039115
125,7228.9,0.39215,0.34265,0.85457,0.9268,0.9479,0.96802,0.92907,0.31212,0.32829,0.85203,0.003862,0.003862,0.003862
126,7286.29,0.39191,0.34705,0.85541,0.92941,0.94748,0.96797,0.92949,0.31122,0.32669,0.8519,0.0038125,0.0038125,0.0038125
127,7343.23,0.38883,0.33937,0.85263,0.92938,0.94765,0.96816,0.92962,0.31067,0.32595,0.85173,0.003763,0.003763,0.003763
128,7399.95,0.38796,0.33394,0.85188,0.92955,0.94988,0.96823,0.93018,0.30963,0.32446,0.85139,0.0037135,0.0037135,0.0037135
129,7457.22,0.38554,0.33111,0.85114,0.92733,0.95253,0.96814,0.92997,0.30852,0.32358,0.85122,0.003664,0.003664,0.003664
130,7514.57,0.38671,0.33363,0.85468,0.92871,0.95224,0.96821,0.92999,0.30781,0.32232,0.85099,0.0036145,0.0036145,0.0036145
131,7571.78,0.38371,0.33448,0.85655,0.93028,0.95212,0.96812,0.93047,0.30797,0.32134,0.85086,0.003565,0.003565,0.003565
132,7629.73,0.38187,0.32863,0.85341,0.92929,0.95243,0.9684,0.93105,0.3073,0.32052,0.8504,0.0035155,0.0035155,0.0035155
133,7686.89,0.38329,0.33218,0.85058,0.92864,0.95278,0.96837,0.93132,0.30702,0.32111,0.85014,0.003466,0.003466,0.003466
134,7743.85,0.38381,0.33209,0.85322,0.9292,0.95226,0.96839,0.93148,0.30675,0.32156,0.85002,0.0034165,0.0034165,0.0034165
135,7800.86,0.38553,0.3293,0.85215,0.92931,0.95377,0.96826,0.93184,0.3065,0.32117,0.84979,0.003367,0.003367,0.003367
136,7857.77,0.37849,0.32276,0.85048,0.92831,0.95582,0.96809,0.93159,0.3064,0.32087,0.84984,0.0033175,0.0033175,0.0033175
137,7914.56,0.38164,0.32531,0.85071,0.92879,0.95521,0.96803,0.93062,0.30663,0.32111,0.84999,0.003268,0.003268,0.003268
138,7971.22,0.37883,0.3212,0.85038,0.92643,0.95757,0.96798,0.93109,0.3067,0.32147,0.85006,0.0032185,0.0032185,0.0032185
139,8028.2,0.37898,0.32393,0.85222,0.92707,0.95813,0.96817,0.93137,0.30623,0.32097,0.84999,0.003169,0.003169,0.003169
140,8086.33,0.37464,0.32197,0.84916,0.92657,0.95802,0.96819,0.93178,0.30582,0.32154,0.84982,0.0031195,0.0031195,0.0031195
141,8143.36,0.37425,0.31874,0.85,0.92731,0.95791,0.96811,0.93153,0.30589,0.32167,0.84991,0.00307,0.00307,0.00307
142,8201.55,0.37595,0.3191,0.84999,0.93036,0.95411,0.96791,0.93126,0.30578,0.32165,0.84993,0.0030205,0.0030205,0.0030205
143,8259.56,0.37246,0.31105,0.84831,0.93082,0.95589,0.96785,0.93149,0.30514,0.32174,0.84982,0.002971,0.002971,0.002971
144,8316.09,0.37485,0.31076,0.84974,0.93188,0.95488,0.9678,0.93179,0.30452,0.32188,0.84968,0.0029215,0.0029215,0.0029215
145,8374.2,0.37228,0.31512,0.84723,0.92999,0.95593,0.96765,0.93168,0.30447,0.32206,0.84958,0.002872,0.002872,0.002872
146,8431.88,0.37189,0.3095,0.84653,0.93106,0.95541,0.96773,0.93196,0.30421,0.32262,0.84953,0.0028225,0.0028225,0.0028225
147,8489.38,0.37328,0.31179,0.84805,0.93089,0.95466,0.96754,0.93125,0.30378,0.32281,0.84938,0.002773,0.002773,0.002773
148,8546.7,0.37159,0.30841,0.84518,0.93267,0.95263,0.96757,0.93156,0.30404,0.32282,0.84942,0.0027235,0.0027235,0.0027235
149,8605.43,0.37356,0.31321,0.84875,0.93105,0.95527,0.96768,0.93161,0.30404,0.32228,0.84938,0.002674,0.002674,0.002674
150,8662.66,0.36563,0.30622,0.84627,0.93079,0.95478,0.96782,0.93167,0.30386,0.3217,0.84924,0.0026245,0.0026245,0.0026245
151,8720.92,0.37032,0.30883,0.84645,0.93175,0.95494,0.96777,0.93136,0.30355,0.32161,0.84908,0.002575,0.002575,0.002575
152,8778.62,0.36652,0.30465,0.8466,0.93161,0.95546,0.96772,0.93188,0.3032,0.32188,0.84891,0.0025255,0.0025255,0.0025255
153,8836.5,0.36833,0.30684,0.84553,0.93153,0.95532,0.96767,0.93213,0.30297,0.32137,0.84886,0.002476,0.002476,0.002476
154,8893.93,0.36795,0.30341,0.84629,0.93167,0.95504,0.96766,0.9318,0.30255,0.32069,0.84859,0.0024265,0.0024265,0.0024265
155,8951.09,0.36578,0.30375,0.84642,0.93244,0.95498,0.9677,0.93185,0.3026,0.32006,0.84846,0.002377,0.002377,0.002377
156,9008.32,0.36213,0.29777,0.8431,0.933,0.95515,0.96765,0.93148,0.30262,0.32033,0.84841,0.0023275,0.0023275,0.0023275
157,9066.26,0.36332,0.30206,0.8447,0.93286,0.95549,0.9676,0.93147,0.30248,0.32086,0.84832,0.002278,0.002278,0.002278
158,9123.06,0.36286,0.30301,0.84449,0.93282,0.95543,0.96751,0.93161,0.30241,0.32084,0.84828,0.0022285,0.0022285,0.0022285
159,9180.5,0.36412,0.3019,0.84559,0.93332,0.9554,0.96742,0.93172,0.30208,0.32082,0.84818,0.002179,0.002179,0.002179
160,9237.32,0.357,0.291,0.84192,0.9334,0.95529,0.9674,0.93176,0.30223,0.32111,0.84829,0.0021295,0.0021295,0.0021295
161,9294.39,0.35946,0.29326,0.8428,0.93392,0.95485,0.9674,0.93207,0.30212,0.32132,0.84826,0.00208,0.00208,0.00208
162,9351.2,0.35994,0.29482,0.84527,0.9337,0.95471,0.96722,0.93162,0.30192,0.32121,0.84813,0.0020305,0.0020305,0.0020305
163,9408.67,0.35518,0.29451,0.83772,0.93362,0.95469,0.96726,0.93237,0.30196,0.3206,0.8481,0.001981,0.001981,0.001981
164,9465.77,0.35717,0.29235,0.84451,0.93367,0.95502,0.96741,0.93214,0.302,0.32052,0.84815,0.0019315,0.0019315,0.0019315
165,9523.23,0.35398,0.29022,0.84276,0.93374,0.95497,0.96762,0.93199,0.30226,0.32044,0.84821,0.001882,0.001882,0.001882
166,9581.31,0.35033,0.28621,0.84129,0.93345,0.9551,0.96757,0.93227,0.30208,0.32016,0.84811,0.0018325,0.0018325,0.0018325
167,9639,0.35165,0.28434,0.83883,0.93329,0.95485,0.96756,0.93277,0.30193,0.3201,0.84801,0.001783,0.001783,0.001783
168,9696,0.35174,0.28464,0.84287,0.93318,0.95485,0.96756,0.93234,0.30192,0.31983,0.8479,0.0017335,0.0017335,0.0017335
169,9753.17,0.35292,0.28511,0.8396,0.93349,0.95478,0.96759,0.93249,0.30181,0.32019,0.84789,0.001684,0.001684,0.001684
